vendor,product,version,date,url
d-link,DIR-860L,unknown,unknown,https://download1.dd-wrt.com/dd-wrtv2/downloads/betas/2020/11-03-2020-r44715/dlink-dir860l-b1/dlink-dir860lb1-webflash.bin
d-link,DIR-862L,unknown,unknown,https://download1.dd-wrt.com/dd-wrtv2/downloads/betas/2020/11-03-2020-r44715/dlink-dir862/factory-to-ddwrt.img
d-link,DIR-862L,unknown,unknown,https://download1.dd-wrt.com/dd-wrtv2/downloads/betas/2020/11-03-2020-r44715/dlink-dir862/dir862-webflash.bin
d-link,DIR-810L,unknown,unknown,https://download1.dd-wrt.com/dd-wrtv2/downloads/betas/2020/11-03-2020-r44715/dlink-dir810l-c1/factory-to-ddwrt.bin
d-link,DIR-810L,unknown,unknown,https://download1.dd-wrt.com/dd-wrtv2/downloads/betas/2020/11-03-2020-r44715/dlink-dir810l-c1/dlink-dir810lc1-webflash.bin
d-link,DIR-835,unknown,unknown,https://download1.dd-wrt.com/dd-wrtv2/downloads/betas/2020/11-03-2020-r44715/dlink-dir835-a1/dir835a1-firmware.bin
d-link,DIR-825,unknown,unknown,https://download1.dd-wrt.com/dd-wrtv2/downloads/betas/2020/11-03-2020-r44715/dlink-dir825-revb/factory-to-ddwrt_WW.bin
d-link,D-Link DSL-2750U Firmware (ME_1.09) (U1) (EN),unknown,3/5/17,https://archive.org/compress/2750UME1.09U1
d-link,DIR-859,unknown,unknown,https://download1.dd-wrt.com/dd-wrtv2/downloads/betas/2020/11-03-2020-r44715/dlink-dir859/factory-to-ddwrt.img
d-link,DIR-825,unknown,unknown,https://download1.dd-wrt.com/dd-wrtv2/downloads/betas/2020/11-03-2020-r44715/dlink-dir825-revb/dir825-firmware.bin
d-link,DIR-300,unknown,unknown,https://download1.dd-wrt.com/dd-wrtv2/downloads/betas/2020/11-03-2020-r44715/dlink-dir300-revb/dir300b-revb-ddwrt-webflash.bin
d-link,DAP-3410,unknown,unknown,https://download1.dd-wrt.com/dd-wrtv2/downloads/betas/2020/11-03-2020-r44715/dlink-dap3410/dap3410-dd-wrt-webupgrade.bin
d-link,DAP-3320,unknown,unknown,https://download1.dd-wrt.com/dd-wrtv2/downloads/betas/2020/11-03-2020-r44715/dlink-dap3320/factory-to-ddwrt.bin
d-link,DIR-890L,unknown,unknown,https://download1.dd-wrt.com/dd-wrtv2/downloads/betas/2020/11-03-2020-r44715/dlink-dir890l/dir890-webflash.bin
d-link,DAP-3320,unknown,unknown,https://download1.dd-wrt.com/dd-wrtv2/downloads/betas/2020/11-03-2020-r44715/dlink-dap3320/dap3320-webflash.bin
